"","Estacion","Latitud","Longitud","D1","D2","Cluster"
"66","BARRA BONITA (237)","-22.5194","-48.5339","-0.153654215326909","-0.0138125522090921","3"
"67","BARRA BONITA ARTIFICIAL (37)","","","-0.191753878327397","-0.0106331279191241","3"
"68","BARRA DOS COQUEIROS (248)","-18.7233","-51.0031","0.798556333241415","0.0128229637546179","3"
"69","BATALHA (22)","-17.3456","-47.4894","0.393297068670144","-0.0655901531901585","3"
"70","BELO MONTE (288)","","","0.975577352245221","-0.200834305103067","3"
"71","BOA ESPERANÇA (190)","-6.68889","-43.5667","0.663097950978309","0.00694146176919696","3"
"72","CACHOEIRA CALDEIRÃO (204)","","","1.11849091450897","-0.113083885376547","3"
"73","CACHOEIRA DOURADA (32)","-18.5019","-49.4911","0.511653715655793","-0.0293807907812274","3"
"74","CACONDE (14)","-21.5742","-46.6219","0.297275653845349","-0.0242813219068266","3"
"75","CAÇU (247)","-18.36","-51.23","0.796619026491598","0.0148678136548214","3"
"76","CAMARGOS (1)","-21.3231","-44.6097","0.274685779925764","-0.0343280105683013","3"
"77","CANA BRAVA (191)","-13.4078","-48.1422","0.354156765566292","-0.0235692710446177","3"
"78","CANDONGA (149)","-20.2075","-42.8547","0.046143336324388","-0.0545402928579385","3"
"79","CAPIM BRANCO I (207)","-18.7958","-48.1369","0.393521530655858","-0.0144433598977991","3"
"80","CAPIM BRANCO II (28)","-18.6589","-48.4386","0.395142103054148","-0.024140463597615","3"
"81","COARACY NUNES (280)","-0.90361","-51.2578","1.11850248584852","-0.113052154261752","3"
"82","COLIDER (228)","","","1.03452532093716","-0.0127713939159495","3"
"83","CORUMBÁ I (209)","-17.9894","-48.5325","0.438568526378503","0.0160573125988396","3"
"84","CORUMBÁ III (23)","-16.7883","-47.9392","0.477396119914968","0.0161678661990865","3"
"85","CORUMBÁ IV (205)","-16.3211","-48.1903","0.475926791357112","0.0241212481301921","3"
"86","CURUÁ-UNA (277)","-28.1944","-54.3","0.206311115651635","-0.0519181175634896","3"
"87","DARDANELOS (291)","-10.1619","-59.465","1.14671145284606","-0.163582589586965","3"
"88","EMBORCAÇÃO (24)","-18.4483","-47.9847","0.378616668724013","-0.0590414353099357","3"
"89","ESTREITO (8)","-20.1528","-47.2808","0.358609234857222","0.00356144958087475","3"
"90","ESTREITO TOCANTINS (271)","-6.58528","-47.4672","0.651448188752438","-0.0715889583270259","3"
"91","EUCLIDES DA CUNHA (15)","-21.6047","-46.9522","0.256144988181985","-0.0365489428943741","3"
"92","FERREIRA GOMES (297)","","","1.11938483855711","-0.112168646694232","3"
"93","FOZ DO RIO CLARO (261)","-19.1158","-50.6436","0.79856596624917","0.0152386872315113","3"
"94","FUNIL-GRANDE (211)","-21.1439","-45.0369","0.358154829139374","-0.0414721189520426","3"
"95","FUNIL (123)","-21.1439","-45.0369","0.350094918735189","-0.111928195125223","3"
"96","FURNAS (6)","-20.6692","-46.3139","0.331889086174706","0.0277293274158078","3"
"97","GUAPORÉ (296)","-15.1242","-58.9631","0.499859296904333","0.137856475624382","3"
"98","GUARAPIRANGA (117)","-23.6717","-46.7272","-0.346056883777579","-0.0330485701040313","3"
"99","GUILMAN-AMORIM (262)","-19.7081","-42.96","0.0248078141928608","-0.00966601303407367","3"
"100","IBITINGA (239)","-21.7572","-48.9919","-0.130721728673991","0.0269101292701954","3"
"101","IBITINGA ARTIFICIAL (39)","","","-0.160489558275536","0.0315479798611062","3"
"102","IGARAPAVA (10)","-19.9872","-47.7572","0.365872500279934","0.00537344393938642","3"
"103","ILHA DOS POMBOS (130)","-21.8511","-42.6081","0.471289149944871","-0.0939306598970457","3"
"104","ILHA SOLTEIRA (34)","-20.3797","-51.3689","0.631147442990339","0.0288932803898129","3"
"105","ILHA SOLTEIRA EQUIVALENTE ARTIFICIAL (44)","","","0.605543918826207","0.0292586758205892","3"
"106","IRAPÉ (255)","-17.4","-42.9","-0.136597434946877","-0.0881994186078874","3"
"107","ITAOCARA (199)","","","0.468548269673071","-0.0941524489779482","3"
"108","ITAPARICA (172)","-9.1425","-38.31","0.426120040774679","0.129387690980807","3"
"109","ITAPEBI (188)","-16.11","-40.17","-0.284585418035573","-0.00340887382027274","3"
"110","ITUMBIARA (31)","-18.4083","-49.0992","0.505014931512378","-0.0255663843750831","3"
"111","ITUTINGA (2)","-21.2919","-44.6192","0.274685779925767","-0.0343280105683058","3"
"112","JAGUARA (9)","-20.0203","-47.4261","0.360771232273422","0.00424491009191889","3"
"113","JAGUARI (120)","-2.3195","-46.0281","0.0800817008151334","0.130858836171301","3"
"114","JIRAU (285)","-9.25499","-64.6445","1.31328619837914","-0.0264982134473648","3"
"115","JUPIÁ (245)","-20.7814","-51.6336","0.600688776810317","0.0619156317130983","3"
"116","JUPIÁ ARTIFICIAL (45)","","","0.598741935981294","0.062272403574495","3"
"117","LAJEADO (273)","-9.75639","-48.3744","0.467266557976068","-0.0308017038422815","3"
"118","LAJES ARTIFICIAL (132)","","","0.42130157019082","-0.153240096977783","3"
"119","MANSO (278)","-14.8831","-55.7983","0.689068032765175","-0.124985920456758","3"
"120","MARIMBONDO (17)","-20.3131","-49.1883","0.386221171420629","0.032227749659704","3"
"121","MASCARENHAS (144)","-19.5008","-40.9186","-0.0390178074894423","0.0731599632089163","3"
"122","MASCARENHAS DE MORAES (7)","-20.2819","-47.0669","0.354134013078905","0.00255325705855581","3"
"123","MIRANDA (206)","-18.9133","-48.0392","0.391908039980411","-0.0104364266312852","3"
"124","MOXOTÓ (173)","-9.35778","-38.2083","0.429415430650404","0.128167657104478","3"
